,,,
,,,
,,,
ASUC Fiscal Year 2024 General Budget [FINAL],,,
ASUC Chief Financial Officer: Henry F. Isselbacher,,,
,,,
,,,
,,,
ASUC Chartered Programs and Commissions,,,
Organization,Sponsorship Category,,Final Allocation
ASUC Mental Health Commission,GOVT,,"$3,000"
ASUC Mental Health Commisssion Chair Stipend,STIPEND,,"$1,500"
ASUC Mental Health Commission Director Stipends,STIPEND,,"$1,000"
ASUC Housing Commission,GOVT,,"$3,000"
ASUC Housing Commission Chair Stipend,STIPEND,,"$1,250"
ASUC Housing Commussion Vice Chair Stipend,STIPEND,,$750
ASUC Financial Wellness Commission,GOVT,,SPONSORSHIP ONLY (ABSA)
ASUC Sexual Violence Commission,GOVT,,SPONSORSHIP ONLY (ABSA)
ASUC Disabled Students Commission,GOVT,,"$6,000"
ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,,"$2,000"
ASUC Intimate Partner Violence Commission,GOVT,,SPONSORSHIP ONLY (ABSA)
ASUC Sustainability Commission,GOVT,,"$5,000"
ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,,"$2,000"
ASUC Health Advocacy Commission,GOVT,,"$4,500"
ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,,"$2,000"
ASUC Menstrual Equity Commission,GOVT,,"$1,000"
ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,,"$2,000"
ASUC Diversity Affairs Commission,GOVT,,SPONSORSHIP ONLY (ABSA)
"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,,"$25,000"
CalTV,GOVT,,"$10,000"
ASUC Publications and Media Board,GOVT,,"$12,000"
Innovative Design,GOVT,,"$7,500"
Open Computing Facility,GOVT,,"$40,630"
DeCal Board,GOVT,,"$5,000"
ASUC Student Legal Clinic,GOVT,,"$2,400"
ASUC Grant & Scholarship Foundation,GOVT,,"$5,000"
ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,,"$2,000"
GOVT SUBTOTAL,,,"$144,530"
,,,
ASUC-Sponsored Registered Student Organizations,,,
Publications (PUB) Registered Student Organizations,,,
Organization,Sponsorship Category,Years of Sponsorship,Final Allocation
Asian American Research Journal,Publication (PUB),3,"$1,000"
Atrium,Publication (PUB),2,$900
BARE Magazine,Publication (PUB),11,"$5,000"
Berkeley Economic Review,Publication (PUB),4,$800
Berkeley Fiction Review,Publication (PUB),40,"$2,856"
Berkeley Poetry Review,Publication (PUB),28,"$1,277"
"Berkeley Political Review, The",Publication (PUB),21,"$7,050"
Berkeley Scientific Journal,Publication (PUB),7,"$2,900"
Blue and Gold Yearbook,Publication (PUB),9,$800
Caliber Magazine,Publication (PUB),14,"$7,000"
Caravan Travel & Style Magazine,Publication (PUB),6,"$4,000"
Caught on Film,Publication (PUB),2,$700
Clio's Scroll,Publication (PUB),23,"$1,640"
Comparative Literature Publication Association (formerly known as Comparative Literature Undergraduate Journal/ Vagabond),Publication (PUB),3,$900
DIASPORA Magazine,Publication (PUB),2,$700
Gia Magazine (under QARC),Publication (PUB),4,SPONSORSHIP ONLY (ABSA)
Her Campus of Berkeley,Publication (PUB),3,"$1,000"
"Heuristic Squelch, The",Publication (PUB),27,"$8,000"
Maganda Magazine,Publication (PUB),33,"$2,363"
Odd Yard Zine,Publication (PUB),1,SPONSORSHIP ONLY (ABSA)
Perennial: The Undergraduate Environmental Journal of Berkeley,Publication (PUB),3,$800
Perspective Magazine,Publication (PUB),26,"$2,400"
Public Health Advocate,Publication (PUB),19,"$2,900"
Spoon University at Berkeley,Publication (PUB),9,$300
"Free Peach, The",Publication (PUB),2,$900
Threads (formerly Al-Bayan),Publication (PUB),24,"$11,200"
To An Unknown God,Publication (PUB),14,"$3,000"
Vagabond Multilingual Journal,Publication (PUB),1,$700
PUB SUBTOTAL,,,"$71,085"
,,,
Student Activity Groups (SAG),,,
Organization,Sponsorship Category,Years of Sponsorship,Final Allocation
180 Degrees Consulting at Berkeley,Student Activity Group (SAG),8,$800
3D Modeling and Animation at Berkeley,Student Activity Group (SAG),5,$800
AAAA - Furries at Berkeley,Student Activity Group (SAG),2,$500
ABA,Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
Abba Modern,Student Activity Group (SAG),7,$640
acts2fellowship,Student Activity Group (SAG),22,"$5,120"
Aerial and Pole Club at Berkeley,Student Activity Group (SAG),1,$400
Aerospace SAE (under ESC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Afghan Student Association,Student Activity Group (SAG),15,"$4,400"
AFX Dance,Student Activity Group (SAG),11,SPONSORSHIP ONLY (ABSA)
AI Entrepreneurs at Berkeley,Student Activity Group (SAG),1,$400
Aion,Student Activity Group (SAG),2,$500
Air Bears - Skydiving Club at Berkeley,Student Activity Group (SAG),1,$500
"Alpha Epsilon Zeta Fraternity, Inc.",Student Activity Group (SAG),17,$400
"Alpha Phi Alpha Fraternity, Inc.",Student Activity Group (SAG),20,"$6,400"
Alpha Phi Omega,Student Activity Group (SAG),36,"$4,300"
American Advertising Federation,Student Activity Group (SAG),8,$450
American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),8,$500
American Institute of Aeronautics and Astronautics at Berkeley,Student Activity Group (SAG),1,$400
American Institute of Architecture Students,Student Activity Group (SAG),13,$420
American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),25,"$2,000"
American Medical Women's Association at Berkeley,Student Activity Group (SAG),8,"$1,600"
American Nuclear Society (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
American Sign Language at Berkeley,Student Activity Group (SAG),2,$500
American Society of Civil Engineers (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
American Society of Mechanical Engineers (under ESC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Anthropology Undergraduate Association,Student Activity Group (SAG),5,$400
Arab Student Union,Student Activity Group (SAG),12,$500
Argentine Tango Club of Berkeley,Student Activity Group (SAG),4,$400
Armenian Student Association,Student Activity Group (SAG),1,$500
Arnold Air Society,Student Activity Group (SAG),6,"$1,250"
Art and Mind,Student Activity Group (SAG),6,$500
Artists in Resonance,Student Activity Group (SAG),9,"$1,500"
ASCEND,Student Activity Group (SAG),15,"$1,200"
"Asha for Education, Berkeley",Student Activity Group (SAG),18,"$3,700"
Asian American Association,Student Activity Group (SAG),26,"$4,000"
Asian American and Pacific Islander Health Research Group,Student Activity Group (SAG),3,$650
Asian Pacific American Pre-Law Association,Student Activity Group (SAG),1,$500
Association for Muslim Professional Development,Student Activity Group (SAG),16,"$2,800"
Association for Socially Responsible Business,Student Activity Group (SAG),6,$500
Association of Chinese Entrepreneurs at Berkeley,Student Activity Group (SAG),3,$650
Association of Molecular Environmental Biologists in Academia,Student Activity Group (SAG),1,$400
Association of Women in EE&CS (under ESC),Student Activity Group (SAG),2,SPONSORSHIP ONLY (ABSA)
Aurum Cosmetics,Student Activity Group (SAG),5,$400
Azaad,Student Activity Group (SAG),5,$800
Azure,Student Activity Group (SAG),1,$400
Ballet Company at Berkeley,Student Activity Group (SAG),12,"$1,760"
Ballet Folklorico Reflejos del Sol,Student Activity Group (SAG),10,$960
Bangali Student Association at Berkeley,Student Activity Group (SAG),1,$400
Bay Advisory Group,Student Activity Group (SAG),1,$300
Bay Area Environmentally Aware Consulting Network,Student Activity Group (SAG),13,SPONSORSHIP ONLY (ABSA)
Bear Power Fund,Student Activity Group (SAG),4,"$1,000"
Bears for Birds - Audubon at Berkeley,Student Activity Group (SAG),3,$500
Behavioral Economics Association at Berkeley,Student Activity Group (SAG),2,$650
BERC Undergraduate,Student Activity Group (SAG),4,$500
Berkeley Ballroom Dancers,Student Activity Group (SAG),9,$800
Berkeley Business Society,Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
Berkeley Chinese Students and Scholars Association,Student Activity Group (SAG),17,"$4,000"
Berkeley Environmental Economics and Policy Students,Student Activity Group (SAG),1,$400
Berkeley Innovation,Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Berkeley Investment Group,Student Activity Group (SAG),1,$400
Berkeley Model United Nations Conference (Formerly known as Berkeley Model United Nations),Student Activity Group (SAG),5,SPONSORSHIP ONLY (ABSA)
Berkeley Organization for Animal Advocacy,Student Activity Group (SAG),8,$630
Berkeley Tennis Association (Formerly Tennis at Cal),Student Activity Group (SAG),6,$800
Berkeley Women in Business,Student Activity Group (SAG),19,$800
Best Laid Plans,Student Activity Group (SAG),5,$400
Big Data at Berkeley,Student Activity Group (SAG),5,$500
Bike Builders of Berkeley (under ESC),Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
BioE Mentor Program,Student Activity Group (SAG),2,$400
Bioengineering Honor Society (under ESC),Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
BioethiCAL,Student Activity Group (SAG),1,$400
Biofuels Technology Club (under ESC),Student Activity Group (SAG),5,SPONSORSHIP ONLY (ABSA)
Biomedical Engineering Society (under ESC),Student Activity Group (SAG),4,SPONSORSHIP ONLY (ABSA)
Black Pre-Law Association at Berkeley,Student Activity Group (SAG),6,$375
Black Sociological Alliance,Student Activity Group (SAG),1,$400
Blockeley,Student Activity Group (SAG),4,$500
Board Games at Berkeley,Student Activity Group (SAG),1,$400
Bone Health Initiative,Student Activity Group (SAG),8,$700
Brazilian jiu-jitsu at Berkeley,Student Activity Group (SAG),1,$400
Brazilian Student Association at Berkeley,Student Activity Group (SAG),1,$500
BridgeUSA at Berkeley,Student Activity Group (SAG),6,"$1,450"
Burmese Students Association at Berkeley (Formerly: Burma Association at Berkeley),Student Activity Group (SAG),1,$500
Business Careers in Entertainment Club,Student Activity Group (SAG),3,$500
Cal American Civil Liberties Union,Student Activity Group (SAG),7,$420
Cal Berkeley Democrats,Student Activity Group (SAG),26,"$4,500"
Cal Bhangra (formerly Golden Bear Competitive Bhangra),Student Activity Group (SAG),10,"$4,200"
Cal Chorale,Student Activity Group (SAG),1,$400
Cal Dragon Boat,Student Activity Group (SAG),20,"$11,900"
Cal Hawai'i Club,Student Activity Group (SAG),35,"$3,600"
Cal Hiking and Outdoor Society,Student Activity Group (SAG),75,"$6,720"
Cal in the Capital,Student Activity Group (SAG),45,"$2,500"
Cal Japan Club,Student Activity Group (SAG),16,"$2,800"
Cal Pre-Vet Club,Student Activity Group (SAG),13,$400
Cal Queer & Asian (under QARC),Student Activity Group (SAG),15,SPONSORSHIP ONLY (ABSA)
Cal Super Mileage Vehicle Team,Student Activity Group (SAG),4,SPONSORSHIP ONLY (ABSA)
Cal Taiko,Student Activity Group (SAG),19,"$5,600"
Cal Undergraduate Public Health Coalition,Student Activity Group (SAG),19,$800
Cal Veterans Group,Student Activity Group (SAG),14,"$4,250"
California Mock Trial,Student Activity Group (SAG),23,"$8,000"
California Mock Trial (Pre-Waived Travel),TRAVL,23,"$19,000"
CalSol (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Cases over Coffee @ Berkeley,Student Activity Group (SAG),3,$500
Catalyst,Student Activity Group (SAG),3,$500
Catholic Students at Cal - Newman Hall,Student Activity Group (SAG),3,$500
Chi Epsilon - Civil Engineering Honor Society (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Chicanx/ Latinx Architecture Student Association,Student Activity Group (SAG),5,$700
Chinese Finance Club,Student Activity Group (SAG),6,$800
Chinese Student Association,Student Activity Group (SAG),34,"$10,200"
Chinese Undergraduate Pre-Law Student Association,Student Activity Group (SAG),2,$500
Cinematic Arts and Production club,Student Activity Group (SAG),4,"$4,500"
Circle K International,Student Activity Group (SAG),29,"$5,040"
Clay Club,Student Activity Group (SAG),1,$400
CMG Strategy Consulting (Formerly Creative Marketing Group),Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Code For Good,Student Activity Group (SAG),2,$500
Codebase,Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Codeology,Student Activity Group (SAG),6,"$1,000"
Codify,Student Activity Group (SAG),1,$400
Coffee Club at Berkeley (CCB),Student Activity Group (SAG),2,$650
Cognitive Science Students Association,Student Activity Group (SAG),3,$500
Combat Robotics at Berkeley,Student Activity Group (SAG),2,$500
Computer Science Undergraduate Association,Student Activity Group (SAG),49,"$2,000"
Consciousness Collective at Berkeley,Student Activity Group (SAG),3,$500
Consult Your Community (CYC) at Berkeley,Student Activity Group (SAG),10,"$2,310"
Core Consulting Group,Student Activity Group (SAG),1,$500
Creative Applications to Life in Origami,Student Activity Group (SAG),10,$525
Cub Support,Student Activity Group (SAG),1,$400
DAES’ Black Film Collective,Student Activity Group (SAG),1,$400
Dance Creation,Student Activity Group (SAG),1,$200
Dance Games at Berkeley,Student Activity Group (SAG),3,$500
Dance the Bay,Student Activity Group (SAG),10,"$1,120"
Danceworx,Student Activity Group (SAG),27,"$4,000"
Data Science Society at Berkeley,Student Activity Group (SAG),8,"$1,760"
DataGood at Berkeley,Student Activity Group (SAG),3,$500
DataStory,Student Activity Group (SAG),5,$500
Debate Society of Berkeley,Student Activity Group (SAG),11,"$3,200"
DeCadence,Student Activity Group (SAG),23,"$1,995"
Delta Consulting,Student Activity Group (SAG),4,SPONSORSHIP ONLY (ABSA)
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,Student Activity Group (SAG),19,$450
Design at Berkeley,Student Activity Group (SAG),3,$500
Dil Se,Student Activity Group (SAG),8,$640
DiversaTech,Student Activity Group (SAG),4,$400
Diversity and Inclusion in Real Estate,Student Activity Group (SAG),1,$400
Drawn to Scale,Student Activity Group (SAG),11,$800
DREAM Campus Ministry,Student Activity Group (SAG),1,$300
Dutch Student Association at Berkeley,Student Activity Group (SAG),1,$400
East Asian Union,Student Activity Group (SAG),14,"$5,600"
Eggster Organization,Student Activity Group (SAG),23,"$3,500"
EnableTech (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Engineering Student Council,Student Activity Group (SAG),33,"$100,000"
Entomology Club,Student Activity Group (SAG),1,$500
Environmental Sciences Student Association,Student Activity Group (SAG),3,$650
Environmental Team (under ESC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Epsilon Pi at Berkeley (under ESC),Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
Eta Kappa Nu (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
EthiCAL Apparel,Student Activity Group (SAG),2,$300
Eustory at Berkeley,Student Activity Group (SAG),1,$400
Extended Reality @ Berkeley (under ESC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Faces of African Muslims,Student Activity Group (SAG),6,"$8,000"
Fashion and Student Trends,Student Activity Group (SAG),12,"$5,000"
Fei Tian Dancers,Student Activity Group (SAG),18,"$2,000"
Fellowship in Christ in Berkeley,Student Activity Group (SAG),3,$500
Fighting Games at Berkeley,Student Activity Group (SAG),1,$400
Finance Club at Berkeley (BFC) [Formerly Sales and Trading Club at Berkeley],Student Activity Group (SAG),1,$400
Firework Band,Student Activity Group (SAG),2,$650
For Christ's Sake,Student Activity Group (SAG),4,$500
Foresight Pre-Optometry Club,Student Activity Group (SAG),30,"$1,300"
Formula Electric at Berkeley (under ESC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Formula SAE (Society of Automotive Engineers) [under ESC],Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Frontera at Berkeley,Student Activity Group (SAG),1,$400
"Future Business Leaders of America-Phi Beta Lambda, Inc.",Student Activity Group (SAG),18,"$3,780"
Game Design and Development at Berkeley,Student Activity Group (SAG),5,$480
Garak,Student Activity Group (SAG),1,$400
Girl UP,Student Activity Group (SAG),2,$400
Global Research and Consulting Group at Berkeley,Student Activity Group (SAG),3,$650
Greeks Against Sexual Assault at Berkeley (GASA),Student Activity Group (SAG),1,$400
Haas Undergraduate Black Business Association,Student Activity Group (SAG),1,$500
Hack the Bay,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Hades Scientific,Student Activity Group (SAG),1,$400
Health and Medical Apprenticeship Program,Student Activity Group (SAG),40,"$10,890"
Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),5,$560
Henna and Rangoli at Berkeley,Student Activity Group (SAG),1,$350
Hindu Students Council,Student Activity Group (SAG),1,$500
"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),1,$400
Hispanic Engineers and Scientists (under ESC),Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
Historical Fencing Club of Berkeley,Student Activity Group (SAG),5,"$1,200"
Hmong Student Association at Berkeley,Student Activity Group (SAG),16,"$3,200"
HoneyBee,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Hong Kong Student Association,Student Activity Group (SAG),30,"$1,600"
Human Powered Vehicle (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
IEEE Student Branch (under ESC),Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
iGEM at Berkeley (under ESC),Student Activity Group (SAG),6,SPONSORSHIP ONLY (ABSA)
Ignite Ministries,Student Activity Group (SAG),1,$500
Indian Students Association,Student Activity Group (SAG),20,"$9,600"
International Consulting Club at Berkeley,Student Activity Group (SAG),2,$500
International Healthcare Association,Student Activity Group (SAG),4,$500
International Students Association at Berkeley,Student Activity Group (SAG),23,"$4,000"
InterVarsity Christian Fellowship,Student Activity Group (SAG),25,"$5,843"
Invention Corps of Berkeley,Student Activity Group (SAG),4,"$1,680"
Iranian Students Cultural Organization,Student Activity Group (SAG),25,"$7,200"
Jain Students Association,Student Activity Group (SAG),6,$800
Jericho!,Student Activity Group (SAG),7,$700
Jewish Student Union,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Jugger at Berkeley,Student Activity Group (SAG),6,$900
Kairos Dance Co.,Student Activity Group (SAG),3,$500
Kappa Alpha Pi Pre-Law Fraternity,Student Activity Group (SAG),8,$640
Kappa Gamma Delta,Student Activity Group (SAG),11,$520
Kendo Club,Student Activity Group (SAG),8,$500
Kerusso Fellowship,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Kickboxing at Berkeley,Student Activity Group (SAG),1,$250
Kidney Disease Screening and Awareness Program,Student Activity Group (SAG),7,"$2,400"
Kids in Nutrition,Student Activity Group (SAG),2,$500
Klesis,Student Activity Group (SAG),10,"$1,200"
Kojobs at Berkeley,Student Activity Group (SAG),2,$400
Korean American Student Association,Student Activity Group (SAG),41,"$1,500"
Korean Performance Group,Student Activity Group (SAG),8,$520
KOSMOS,Student Activity Group (SAG),3,$500
"Lambda Theta Nu Sorority, Inc.",Student Activity Group (SAG),13,"$1,200"
"Lambda Theta Phi, Latin Fraternity, Inc.",Student Activity Group (SAG),17,"$4,000"
Latin American Leadership Society,Student Activity Group (SAG),9,"$1,100"
Launchpad,Student Activity Group (SAG),7,$480
Lavender Alliance at Berkeley (under QARC),Student Activity Group (SAG),3,SPONSORSHIP ONLY (ABSA)
Laya of Berkeley,Student Activity Group (SAG),5,"$2,000"
Le Cercle Français of Berkeley,Student Activity Group (SAG),7,$300
Lindy on Sproul,Student Activity Group (SAG),13,"$1,200"
Linguaphile Student Association,Student Activity Group (SAG),4,$250
Logging Sports Team,Student Activity Group (SAG),1,$500
Machine Learning at Berkeley,Student Activity Group (SAG),2,$650
Mahjong Club,Student Activity Group (SAG),1,$400
Malaysian Student Association at Berkeley,Student Activity Group (SAG),1,$500
Management Consulting Club at Berkeley,Student Activity Group (SAG),1,$400
"Management, Entrepreneurship & Technology Student Board (under ESC)",Student Activity Group (SAG),5,SPONSORSHIP ONLY (ABSA)
Mariachi Luz de Oro,Student Activity Group (SAG),3,$500
Materials Science and Engineering Association (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Maya at Berkeley,Student Activity Group (SAG),1,$500
MI2 @ Berkeley,Student Activity Group (SAG),2,$400
Microfinance at Berkeley,Student Activity Group (SAG),11,"$1,800"
Middle Eastern Business Association,Student Activity Group (SAG),3,$500
Minecraft at Berkeley,Student Activity Group (SAG),4,$432
Minorities in Health Conference,Student Activity Group (SAG),4,$500
Molecular and Cell Biology Cell Developmental Neurobiological Association,Student Activity Group (SAG),9,$600
Molecular and Cell Biology Undergraduate Student Association,Student Activity Group (SAG),9,$900
"Movement, The",Student Activity Group (SAG),23,"$4,956"
Muslim Student Association,Student Activity Group (SAG),37,"$21,000"
Mycology Club at Berkeley,Student Activity Group (SAG),2,$400
Naach at Berkeley,Student Activity Group (SAG),1,$400
Natya at Berkeley,Student Activity Group (SAG),10,"$2,000"
Nazakat at Berkeley,Student Activity Group (SAG),1,$500
Nepalese Student Association,Student Activity Group (SAG),2,$500
NeuroNet,Student Activity Group (SAG),1,$200
NewSpace at Berkeley,Student Activity Group (SAG),2,$650
Nigerian Students Association,Student Activity Group (SAG),7,"$1,600"
Nikkei Choral Ensemble,Student Activity Group (SAG),7,$680
Nikkei Student Union,Student Activity Group (SAG),21,"$3,030"
Omega Psi Phi Fraternity Inc.,Student Activity Group (SAG),1,$500
"Omniscient Tutor, The",Student Activity Group (SAG),4,$480
OPEN at Berkeley,Student Activity Group (SAG),1,$500
Open Project,Student Activity Group (SAG),1,$500
Optimir Consulting,Student Activity Group (SAG),3,$350
Our Monologues (formerly V-Day at Berkeley),Student Activity Group (SAG),2,$500
Outlet,Student Activity Group (SAG),10,$800
Outsiders,Student Activity Group (SAG),2,$500
Pakistani Student Association,Student Activity Group (SAG),19,"$2,800"
